order_color,order_hierarchy,order_calculate,goal,parent,name,name_flower,description,weight,preindex_function,postindex_function
1.2,1,13,FP,,Food Provision,Food Provision,"This goal measures the amount of seafood sustainably harvested in a given region through any means for use primarily in human consumption and thus includes wild-caught commercial fisheries, mariculture, artisanal-scale and recreational fisheries.",1,,"FP(layers, scores)"
1.1,1.1,1,FIS,FP,Fisheries,Artisanal\nFisheries,"This subgoal model aims to assess the amount of wild-caught seafood that can be sustainably harvested, with sustainability defined by multi-species yield, and with penalties assigned for both over- and under-harvesting.",1,FIS(layers),
2,2,2,AO,,Artisanal Fishing Opportunity,Artisanal Fishing\nOpportunities,"This goal captures the access people have to coastal resources, whether or not they actually take fish or harvest from coastal waters.",1,AO(layers),
3,3,3,CS,,Carbon Storage,Carbon Storage,This goal captures the carbon stored in natural coastal ecosystems that absorb and sequester carbon in large amounts.,1,CS(layers),
4,4,4,CP,,Coastal Protection,Coastal\nProtection,This goal measures the amount of protection certain coastal habitats provide by measuring the current area they cover relative to the area they covered in the recent past.,1,CP(layers),
5,5,5,TR,,Tourism & Recreation,Tourism & \nRecreation,This goal captures the value people have for experiencing and taking pleasure in coastal areas.,1,TR(layers),
6.2,6,14,LE,,Coastal Livelihoods & Economies,Coastal Livelihoods & Economies,This goal aims to maintain coastal and ocean-dependent livelihoods and productive coastal economies while also maximizing livelihood quality.,1,,"LE(scores, layers)"
6.1,6.1,6,LIV,LE,Livelihoods,Livelihoods,This subgoal evaluates the benefits people obtain from the oceans in the form of jobs and wages.,0.5,LIV(layers),
6.3,6.2,7,ECO,LE,Economies,Economies,This subgoal captures the economic value associated with marine industries.,0.5,ECO(layers),
7.2,7,15,SP,,Sense of Place,Sense of Place,This goal aims to capture the level of protection for aspects of the coastal and marine system that contribute to a person's sense of cultural identity.,1,,SP(scores)
7.1,7.1,8,ICO,SP,Iconic Species,Iconic\nSpecies,This subgoal captures the species that are important to a region because they are relevant to local cultural identity.,0.5,ICO(layers),
7.3,7.2,9,LSP,SP,Protected places,Protected\nPlaces,"This subgoal captures the conservation status of geographic locations that hold significant aesthetic, spiritual, cultural, recreational, or existence value for people.",0.5,LSP(layers),
8,8,10,CW,,Clean Waters,Clean Waters,This goal captures the degree to which waters are polluted.,1,CW(layers),
9.2,9,16,BD,,Biodiversity,Biodiversity,This goal captures the conservation status of marine species.,1,,BD(scores)
9.1,9.1,11,HAB,BD,Habitats,Habitats,This subgoal measures the condition of habitats that are important for supporting a wide array of species diversity.,0.5,HAB(layers),
9.3,9.2,12,SPP,BD,Species,Species,This subgoal aims to estimate how successfully the richness and variety of marine life is being maintained.,0.5,SPP(layers),
